text,label
Amk toputoşu deli olsan ne yazar,1
Belli oluyo,1
Ayyyy erkekğğ yaaağğggğ,1
Yıllarını değilde götünü vermiş gibi bir havan var,1
ABLAMI DİYİM ACABA NESYE ABLA BARİ Bİ KAS YAPTA ÇEKİCİ OL AQ ERKEK OLMAMA RAHMEN DÜŞTÜM ŞSNFLEJFJRLD,1
Amk tipine bak top,1
Top,1
Erkeklinide vermişsin,1
Adam yıllarını vermiş çok üzüldüm ya 😂😂😂,1
Sadece yıllarını değil erkekliğini de vermişsin,1
Erkek gibi dogmak alın yazısı olsada adam gibi yaşamak her kula nasip olmuyo işte 👏👏,1
Her gece gün sayımız azalıyor 😂😂,1
Babası da benim oğlum var diyodur,1
Bir erkek olarak yıkık durumdayım arkadaş lar erkeklerin nesli tükeniyor lütfen neslimizi koruyalım bizim neslimiz kurursa bütün büyü bozulur😢,1
Baska bısey vermıssındır de 😂,1
Bu kız mı erkek mi anlamadım giti yav,1
Su toplara ayri bi ülke verselerdi yada Ada kücuk cocuklari yoldan cikarmazlardi.,1
Aga bu kiz mi erkek mi cozemedim amk,1
"Dayı belli oluyor yalnız, hatırlatayım 😂",1
Bu toplar çok şanslı nedense,1
Bababasıda delikanlı oğlum var diye seviniyor,1
Keşke yillarini verseydin sadece...,1
Offff erkek yaaaaaaa,1
Sağdaki travesti,1
Ulan Allah belanı versin şeriat istiyorum lan bunu yüksekten atasim var top oğlu top,1
Mardin travesti 0530 31 31 31 snsnsndndnndnd,1
O değilde şu kadın erkek karışımının cinsiyeti ne,1
Topluk öyle kolay olsaydı ben yıllarımı vermezdim olacaktı o ama neyse jfjdkekdjd,1
Top aq😂,1
aunları guzelce bır sıkınde akılları baslarına gel topların,1
ben yıllarımı vermısım dıyor sıze ılerde yarak verecekler agırından,1
Allah belanızı versin lut kavmi sizingibilerin yüzunden helak oldu edepsiz toplar,1
Abla travesti gibi aml,1
Topluk ollcak galiba,1
Travesti,1
Travestilere bugun,1
Sen dogdugunda sevinmistir baban oglum var diye yaziklar olsun amk senin gibi erkeklere,1
Erkekmi dişimi bu,1
Diğeri erkek,1
İyiki vermişsin yıllarını 👏,1
Erkekligini vermiş yilini verse ne olurr,1
Bu ne cinsiyeti,1
Knk bu travestimi?,1
Sakdaki erkemi ?,1
Soldakide erkek oluyor galiba,1
len o verdiğinin adı yıl değil 😂😂,1
Sağda ki travesti amk,1
Oğlum bu enson erkek gibiydi ne ara böyle oldu amk,1
Allah topunuzun belasını versin allah kül etsin yok etsin sizi,1
Erkek lan o,1
Yilarini vermiş erkeken kiza donmus 😂,1
Taşşakları belli oluyo,1
Ooo erkekmii,1
Topluk öyle kolay olsaydı sen yıllarını vermezdin. Kirve👌,1
Bence sen topluğ öyle kolay olsaydı ben yılarımı vermezdim deeee mall,1
Bacım az sakin ol.,1
Erkek gibi laan,1
Taşşaklı prenses,1
Bunun cinsiyeti ney aq,1
Sağdaki erkek mi amua koyim,1
Off erkek yaaaahhğ,1
Olm kıxmı lan o yoksa travestimi kızsa öyle kız olmaz amk 😂,1
Nedir bu karı olma sevdası,1
erkekliğimden utandım be y@rrak,1
Lan amk topu bunları atmasana,1
Götünü verdiği kesin ona itiraz yok,1
Topluk bu kadar kolay olsaydı ben yıllarımı vermezdim demek istemiş,1
Sagdaki erkek aq,1
Pislik ..hastalik sebebi şu toplari sevimli gosterenlerede yazik mk,1
Ay erkek yaaaa,1
Sayın admin sayın yönetici Allah için düzgün bir insanın komik videolarını gönderin artık iğreniyorum bu tür insanlardan erkekliğinden utanır oldum,1
Lan amk erkeğin travestiside varmış😂,1
Erkek mis lan bu😝😝😝,1
Bu kadar vermeseydin keşke,1
Bunlar erkek mi,1
Sadece yıllarını vermemiş😢,1
Kızmı bu,1
Mahmut abla nasılsın,1
Bunun cinsi ne?,1
Oroo mıhyedin ye te buune ye denne bılloş😁,1
Tiravestlimi len bu,1
120 mm havan topu 😂😂,1
Kızmi erkekmi bu amkkk,1
Adamı ay pardon ablanın hesabını bilen varmı,1
Travestiye bakin idhevdjf,1
Büyükbaş gibi değil biraz küçük baş gibi bağır ne biçim travestisin amk😂,1
Sait dermisin abla nolur,1
⚽🤞,1
Abi mi diyelim abla mı diyelim amk,1
Travesti problems,1
Bu erkek mı,1
Abla pardon abi ay nesin sennn😢,1
Topppp,1
Sana kalkan eleri pardon şeyler kırılsın😂,1
bacım noldu sana.içine erkek kaçmış😂,1
Bu kim lan korktum kız abi😂😂😂,1
Travesti isin amk,1
Tm hüsamettin abla teyze nine dayı amca,1
Bu eşcinsel Doğanay oguza cok benzemiyormu,1
Şey ablanın yada abinin instası ne,1
Abla sen bu gidişat lan bizide sikersin,1
Bi bitmediniz kız ismet,1
Bu ablaya ne olmuş niye sesi böyle 😮,1
Nerenin travestisisin sen amk,1
Kürtün ipneside çekilmiyor,1
Topitop,1
Havada tutup tavada sikmişler ibneyi,1
Travestiyi anlarımda bu farklı bi varlık be değişik bi yaratılış rabbim günah yazma,1
Toplarda artis var bu ssne😂😂,1
Fakirler ibne olmasın,1
Haydaaaaa kekkoo sendemi ula ibbinnaaa,1
Bu fakir traversity daha estetik aşamasına geçememiş elindeki imkanları degerlendirio...,1
Allah travestinin bile güzelini nasip eylesin bu nedir mk,1
Kürt geyden bu kadar olur abi ancak 🤣,1
Filo cyote goyi,1
Kim sana top ol dedi,1
Bu travesti kimse azına sicim,1
Top lan buu,1
@gamze_asi_celik c’est tout à fait normal c’est un gay 🤷‍♀️,1
Bunu babası emzirmis heralde onadan top olmuş aq,1
Trans mı,1
Senmi güzelsin erkek bozmasi,1
Kızmı 😳😳,1
Çogaldi.bunlar iyice topunu askere gönderelim. Allaha rızası için 😂,1
Kendinizi rezil etmeyin erkek gibidurun😡😡🤦🏼‍♀️,1
Some ⚽⚾🥎🏀🏐 PROBLEMS,1
Toplar piyasaya😂😂,1
Yorum yapmiyim dedim de duramadım 😏 sukur sen varsin biz orji kadinlar olarak toplu initihara gidiyoz😘,1
Top oğlu top,1
Kim sana bu kadar ipne ol dedi 😥,1
Allahım erkek evlat istemiyrumm sonuç kız olacak..,1
Kafasına silah dayayıp zorla ib.e yapmışlar belli.,1
Bu gidişle ünlü olmak için bütün erkekler ibine olacak--🤣,1
aq topu,1
kızlar artık vatan bize emanet👏👏🇹🇷,1
⚽️⚽️⚽️⚽️⚽️⚽️,1
Kahrol dusman al sana bombe⚽️⚽️⚽️,1
Hişşşttt kim sana böyle top ol dedi,1
Top,1
⚽⚽,1
"Aslında herşey şu dar ve kısa paça modasıyla basladı, ulan piyasa da erkek kalmadı. 🤔",1
Yaa niye erkekler böyle şeyler yapıyor özenti olamaz bu kadar doğuştan demesin kimse eskiden yoktu bu kadar hep yaşantı bozukluğu 😡,1
Erkek kalmadı,1
Aga yeni cins cıkmıs bana niye demiyonuz hı,1
Allah'ın verdiği cinsiyeti değiştirmeye çalışan bu adam kılıklı kaşarları pitpullara yem yapacaksın 👍👍,1
Erkeklik te beğenilmeyince bide kız versiyonunu deneyim demiş yinede tutmamış 😜😁,1
Kim sna top ol dedi.!!,1
Abla yapma,1
"Adamlar kadin, kadinlar adam olayiii. Allah cezanizi vereeee.",1
Bi durun dünya bi dönsün siz öyle dönün bu ne hiz,1
Allah senin belanı versin olum sen erkeksin kendine gell,1
İpnetor,1
Ne olur bu bizim gençlere rabbım sen bizi ibnelikten koru,1
Some ibne problems. 😢,1
Babası da sewinmiştir oğlum oldu dıye,1
Bi an erkekligimi sorguladim 😕😕,1
Bu kızmı,1
Allah belanı versin top,1
2021 erkek modeleri,1
Yuvarlamsı bişey,1
Ya bi sg aq topu sizin yüzünüzden kıyamet kopacak Aq özürlüleri.,1
Ahanda birtane nurtopumuz daha oldu🤣🤣,1
İşt kim snaa bu lafr top ol dedi bu bizim gözümüzün vebali günahı senin,1
Kerimcan Durmazın Sıfır 1 şubesi 😂,1
Senin cinsin ne la😂😂😂,1
😂😂😂😂😂😂😂🤣🤣🤣🤣🤣👌👌👌👌👌,1
😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣👌👌👌👌👌👌,1
😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣👌👌👌👌👌👌,1
Gelecegin topu,1
Travestimi bu ne anlamadim,1
Abicim soyunuz tükeniyor yakinlarinizda düzgün erkek varsa cam fonusa koyup saklayın böle bu iş nereye gidecek,1
Ülkede savaş çıkarsa atacak topumuz çokkk allaha şükür,1
😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣👌👌👌👌👌,1
Al işte bir tane daha çıkmış🪵,1
"Hadi seni askere aldılar,düşmana ne dicez? @aygunbora",1
Kim sana top dedi,1
Topum çamura girince aq aynı böyle,1
Ibneye bak😂,1
👌🏻👌🏻👌🏻👌🏻👌🏻 aq topu,1
Kızlar bu sizden mi yoksa bizden mi? 😂😂,1
Ben bunu derbide görmüştüm 😂,1
Tribündeki topların nere gittiğini öğrendim 😂😂🤣 bune amk,1
Toooopp🙌,1
lan top,1
yuvarlan da bi şut cekiyim,1
Kimsana bukadar top ol dedi,1
Erkekmi lan bu👏,1
Magazine çıkmış top gibi la 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1
Oha ya top bi erkeye yakışırmı ya topluk ayıp ayıp kendine bı dıştan bakmayı dene bi pişman olmasın,1
Kardesim bunun ismi kiz memo derler,1
Şimdi abi desem olmaz kız dedem olmaz lan insan sana kim güzel dedi bulup göz doktoruna götürücem 🙄😑,1
Düşük bütçeli gay,1
Bu erkek demeyin,1
Top ⚽️⚽️⚽️⚽️⚽️ 👍,1
Top amk topu 2021 de uğurlu gelmedi 😂😂😂,1
Dünya savaşı çıkarsa bunun gibiler tank topu diye duşmanlara atariz ardil bagri bi işe yarar hiç yok dan😂😂🤣,1
Gözlerim olayın farkına vardı bu tam bir ⚽⚽🏀🏈⚾,1
Top baj ya,1
Kendini kıza benzetip sikilmekmi istiyor anlamıyomki o ne poz annen baban pişmandır seni doğurduğuna,1
Erkeklerin yuz karasi 👏,1
Amkodimun topu,1
Erkekliginden utan,1
Bu gey mi ? @benekli.ayhan,1
İğrenç siniz ve gençlere çok kötü örneksiniz kadın hissediyorsan kendini kadın ol erkeksen erkek ol bu şekil genlerin dengesini bozuyorsunuz milyonlarca anne babanın bedduasını alıyorsun haberin olsun @kerimcandurmaz,1
Böyle erkek mi olur Allah ını seversen,1
Erkeklerle tek ortak yönün sikinin olamsı kakaksksslslsl,1
Sana bir soru soracan topluk markan Nike mi Adidas mı anlayamadım?,1
Biraz insana benziyordu insanlıktan da çıkmış,1
İbneeeeeee,1
Lan bunin siki yokmu b? @baris.gun51 😮,1
@muxtarovf.05 yok sanırım kestirmiş,1
"Başımıza taş yağacak bu tipler yüzünden Allah vermiş belanızı , erkek misin kzı mı belli değil . Kıyafetlere bak tipe bak . Allah sizi affetsin dicem de . O bile affetmez sizi",1
Erkek mi kız mı aw,1
Topa bak allah kurtarsın,1
Senin Baban bu haline ne diyor çok merak ediyorum....!,1
G....verenler de bugun😂,1
Cok kötü hic yakışmamış erkek adam öyle şeyler giymez,1
İyice travesti oldun,1
wunexsa,1
TOPPPPP,1
götünü verib üzünü bəzəyən BİR GÖTTTTTTTT,1
Bu erkekmi ya,1
Sanki cück gtmiş,1
Iyyce bokunu cikardin ucubeye dogru gidiyosun. Seni ne cok severdim izlerdim herkese de izletirdim ayvalikta performansina bile geldim ama niyeer nedeennn niye siradanlasiyosun niye cinsel bi obje oluyon krizman vardi midem bulandi,1
Erkeklige veda etmişsin sen temeli kerime abla😂😂,1
@kerimcandurmaz bu kılık nedir yuhhh senin erkekliğine 🤭,1
dalga nerde ?,1
Geylerin efendisi❤️,1
Abi bu ne karı gibi poz veriyorsun sen erkeksin he burasıda Türkiye,1
Allahım bu adamı görünce artık tiksiniyorum şu kendini getirdiği hale bak ya yazık ki kendini erkek diye bildiğin,1
Kiz olsun bacaklari kız gibi👏,1
Dönüşüyorsunuz...,1
Hocam kerimcan kız mı? @kerimcandurmaz,1
Buda erkek dimi şimdi,1
Topik,1
Bu erkekler neden bu kdar kadın olmaya meyyilli,1
Bence insan net olmali ...ya kadin?ya erkek? Sen hiçbirinden geçemiyorsun galiba...,1
@lenaaaa.k.k sence ama? Herkes sana göre mi olmak zorunda? Bir insan ilk kendine bakmalı. Sen insanlıktan da geçemiyorsun galiba. Milletin cinsiyeti sana mı kaldı?,1
Hay sizin gibilerin soyu kurusun,1
Buna erkek diyenin *****,1
@vantesberry sana mi kaldı onu savunmak ödül alınca araştırdım oy verenlere yazıklar.olsun dedim san ne sende mi topsun,1
Oha kızmısın lan sen,1
Kadın gibi olmaya nekadar da merakınız varmış Allah ıslah etsin sizi,1
Bir insan neden kendi cinsiyeti dışında başka bir cinsiyete meyilli olur ve kendini ona göre değiştirmek ister ki. Erkeksen erkek gibi ol adam akıllı hareketler yap. Yemin ederim seni gördükçe ben utanıyorum. Beni yanlış anlama sakın erkek olmak sana Allah'ın verdiği bir ayrıcalık o hareketler tavırlar konuşma sekli ne olum öyle . Ülke ne durumdan ne duruma geldi . Yazık yemin ederim biraz adam olup aklınızı başınıza toplayın 😠😠😠,1
Kerimeeeeeğğğğğ,1
Bazı kızlar bile senden daha erkek 😳😂,1
Şaka gibi ortalıkta erkek kalmadı Allah ıslah etsin,1
"@memt___ hocam, kerimcan kız mı?",1
İnsan olmayı denesene,1
cinsiyeti belli olmayan yaratığı beğenen takdir eden herkesin evladı boyle olsun. Olsun ki nasıl bir belaya düştüğünü görsün. Allahım sen esirge 🙌,1
Tam travesti gibi olmuş..!,1
Bu Qarİ mİ eRkeKmİ,1
@kerimcandurmaz allah için bii cvp ver kızmısın erkekmisin ?,1
La kardaş sen topmusun,1
babasi delikani adam diyor orosmunun cocugu,1
Ya kerim abey niye boyle kiz gibi giyindinki erkeksin sen kiz del,1
Bi erkek neden bu kılığa girer ki🤔🤔,1
Toppppp,1
Tob,1
@kerimcandurmaz burda nekadar da Bülent Ersoy hanıma benziyorsunuz 😂 yılanssssss,1
Kadin gibi topuklu ayakabi da giymis ya dunya ne hale geldi ya,1
Kendini kız sanıyo,1
Aga kadın gibi olman bişi deiştirmez değişmez gerçek erkeksin,1
Sonra bi şarkı yankılanır dilimde kestirdigime pişmanim 😊😊,1
Adamlığa sığar mı be,1
Neden kendini kadın gibiyapiyosun anlamıyorum,1
Kızmısın erkekmisin mübarek,1
Topiş,1
Türkiye'm bir numaralı ibnesi atesin bol olsun🔥🔥🔥🔥🔥,1
⚽️,1
Bu kızmı erkekmı yaa😂,1
Inşallah sen gibi oğlum olmaz ya annen baban sevindimi sana acaba,1
Toppppp,1
H-hocam kerimcan kızmı??,1
Kerime bacım yakıyorsun ortalığı ❤️,1
Keşke baban da şu fotoğrafın altına gururla İŞTE BENİM OĞLUM yazabilseydi,1
Sende harbi topmuş sun,1
Türkiyenin 1 numaralı topu,1
👌🏻👌🏻⚽️⚽️🏀🏈🏐🎾🥏🏉⚾️🥏🥎🎱🪀🏓🏉⚾️⚽️🥎,1
Toppppp,1
Sbdbdhdhddhhdbdhd komik la tipe bak kız mı erkek mi belli değil adını da değişssydin bari,1
Adamlık zor geldi tabi oğlan,1
Ablama bak be @emirsencerfan,1
Bu kiz mi erkek mi Allahim sen bizi ileriki neslimizi koru,1
eveet yine bir erkek ammmmma kız ikonuu,1
Hayatımda daha güzel bi futbol topu görmedim gerçekten ne kadar edersiniz hocam,1
Hayırlı evlat erkek gibi maşallah.,1
⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️,1
Çilekli lolipop,1
Kıyamet alemeti,1
Neden kadın oldun ki? Jilet gibi erkek olsan daha iyi olmazmıydı.,1
Başın göğe ermiştir artık çakmada olsan kadın oldun. Allah sizi bildiği gibi yapsın.,1
Annen seni doğurduğunda gözünüz aydın maşallah nur topu gibi oğlunuz oldu demişti değil mi? 🥶🥶🥶🥶,1
Bir babanin gururu 😂😂,1
Şu ibneler için ülke adı buldum ibnekent dönmeleri buraya toplasinlar,1
Baban gurur duyuyordur Aslan parçası🤣,1
Bu kadın mı erkek mi ?,1
"SEN ERKEKSİN YA HANİ, İSMİNDE KERİMCAN YA HANİ, BÖYLE ŞEY ETMESEK Mİ YANİ , MAKYAJ KADIN ELBİSESİ FALAN OLMUŞ MU SENCE",1
Cinsiyetini mi degistirsen?,1
Ne zaman kestiriyosun,1
Erkeklerin yüz karası ibneeee,1
Seni doguran anaya babaya yazık utancından dısarıda cıkamazlar,1
@kerimcandurmaz Bu ne ya hadi öbür tarftansin felan sıkıntı yok ama bukadar da travesti kari kılığına girmenin anlami ne,1
Ne kadın olduğu bellı nede erkek yanı sadece Turkıyenın utancısınız ..,1
Geeeeebeeeeriiin lanetli ler. ..,1
Bütün geyler toplanmış toplanmış😂,1
Bütün toplar taş olmuş vücut bulmuş hali😂😂😂😂,1
Lut kavminin torunları,1
Bütün kızlar toplandık 😂😂😂😂,1
Lut kavmi gibi,1
Inşallah lut kavmi gibi taşa döner böyle donar kalırsınız sizin gibiler yüzünden size özenen bir sürü çocuk bataklığa surunup gidiyor 🤮😡,1
Tanrının lanetlileri daha uygun bu fotoya 😂,1
Lut kavmi deilmi bu,1
Vallahi billahi lut kavminin fotosu😱😱😱,1
Lut kavmi😳,1
Bi an aklıma lut kavmi geldi ..,1
Toplar kayası 😂,1
Lut kavmi,1
Lut kavmi,1
Lut Kavmi!!!,1
Bu kadar topu hiç bir arada görmedim,1
@kerimcandurmaz Allah sizi naletlemis insallah lut kavmine yaptığı gibi sizede taş yağdırır basiniza,1
Bunların türk erkeği olduğuna inanmıyorum,1
daha cok lut kavminin cocuklarina benzemis...😱,1
Erkek mısınız siz ya,1
Lut kavmi🤮🤮🤮🤮,1
Erkek erkeği sikermi lan?,1
Lut kavminin çocukları,1
2 tane ⚽️,1
Toplar topluluğu,1
Toplar diyari,1
Topiş 👿,1
Kim bu namussuzlara bu kadar prim veriyor Lut kavmi,1
Iyi de senin tarzini seklini uslubunu ahlaksizlugini napcaz erkek gorunumlu bacimm,1
Şu ibneye değer veriliyor ya.,1
Allahın nanoşu tpo,1
toplar Ve Geyler Toplanmış,1
Topitoplar toplantısı,1
Kerimcaaaan? Nonosum? Ugur akkus yegenim seni nerdeyse pataklayacakmis 🤨,1
Kerimcan kac tane nonos var orda ? Gozlerim bulanik goruyor,1
Erkek musvetteleriiiiii.....,1
Lut kavmi başka bir şey sizler de onlar gibi gün gelecek helak olucaksiniz,1
Toplar grubu,1
Tooooooopppp🤢,1
Travesti sokağı,1
Toplar birleşmesi gibi bir şey olmuş bu,1
Toplar,1
Lanetli toplar,1
toplar adası olmuş ya gizzz,1
Bütün kızlar toplandık,1
Lut kavmi,1
Lut kavmi,1
Gaylar toplanmış,1
Sen qeymisin?,1
Oc travesti,1
Lut kavmi,1
#lgbtsapıklığınadurde,1
Lut kavmi 2020 tablosu 👎👎,1
Lut kavmi dirilmiş bi felakete ihtıyac vae,1
Loliop style:),1
Olum azcık delikanlı erkek olun lan,1
Toplar oglanlar,1
Şeytanın çocukları.Lut kavmi.,1
Toppp,1
Lut kavmi 😁,1
Lut kavmi,1
Ve Hz Nuh helak eti sizi taş oldunuz dicektimki bulutlar hareket eti,1
İbneler part 1 😂😂😂,1
Topçu tugayı alayinizin ...,1
Bunları hangi am baş ünlü yapıyro? Var yoxun sikim gijdillax xanadiyye🤦‍♂️ harda götverən var populyardı tək dediyum şey var sikdirin gedin yatanda qazı açıq qoyun bir bomba olur sən öl səhər duranda çox rahat olursan,1
The Lut Kavmi,1
Lut kavminin taşlaşmış bedenleri🙄,1
Daha çok Lut kavmine dönmüşsünüz,1
Lut kavminin cocukları.,1
Bu topun nasıl 3m takipçisi var ya,1
Toplar adası,1
Hiç bukadar ibneyi bir arada görmemistim.....🙄,1
Toplu resim 😂,1
Lut kavimi taşa donmusler,1
Lut kavmi 🤮,1
Lut kavmi. Bir sabah hepiniz helak olacaksınız.,1
Lut kavmi helakından hemen önce çekilmiş bir kare..,1
Bütün toplar toplanmış,1
Toplar sahasi 🤣 @kerimcandurmaz sorry canim ama bunu yazmasam olmazdi 😆,1
Lut kavmi cocuklari tiplere bak ya,1
Roma sapkınlıkları,1
Lut kavminde taşa dönen eşcinseller gibi 😃😃,1
Bütün oğlanlar toplanmış Türkiye sizinle gurur duyuyor..,1
Evet o gün de gelecek sizler de lut kavmi gibi helak olacaksınız.,1
"Daha arkadaşım, dostum dediğin adamın toprağı kurumadı..hakikaten ağır ibnesin RUHUNLA !",1
Toplar ekibi,1
Lut kavminin torunları sizi,1
Millet kız görsün 🤣🤣,1
Bunca yıllık futbolcuyum bu kadar topu bir arada görmedim☺️☺️,1
Ulan i*** seni kim takip ediyor bu kadar,1
Lut kavmi heykeli gibi😂😂😂😂,1
Lut kavmi gibi aynen,1
Lut kaviminin fosilleşmiş hali😂👏👏,1
Lut kavmi sürüngenleri,1
Lut kavminin ön fragmanı olmuş .,1
Lut kavmi picleri,1
Avatara benzemişler korktum😂😂😂😂Artık erkeklere de duygun bitti erkek mi kız mı anlamadık,1
@nurfloverss Lut kavmine döndüler sandım hahahaha,1
Lut kavmi mübarek 😅😅🌈,1
Bütün gayler toplandık hepinizi üst üste koymak isterdim,1
Erkek varmi erkek 🤩,1
Butun topikler,1
Taşa dönecekler zaten. LUT KAVMININ çok daha azitmisi bunlar. Onların yüzünden de bizim başımıza taş yağacak. Affet bizleri ALLAHIM😔,1
Lut kavmi siz helaka uğrayanlardansınız amin....,1
Lut kavmi loading,1
Lut kavmi geri hortladı 😱,1
Taşa dönüşmüş 2020 Lut kavmi,1
Lut kawmi gibi bi poz,1
Topgrup anısı,1
Lut kavminin helakı görseli,1
Utan lan utan erkeksin sen smk bu tip ne yazik ya size insna diyorlar ya anlamiyoru.,1
@erenytts nefret kusanlara insan denmiyor aynaya bak ve sorgula kendini,1
Sen kiz isen dunyaya kiz olarak doganlar ne bunu cidden merak ediyorum,1
La bu kız la,1
Samet😂😂 valla her yerını yaptın memenıde yap noktalama duruşu aynı dglmiş,1
şeyini demi kestirmiş,1
Südyenin niye yok bebeğim,1
Keşke böyle olmasaydın. Belkide sende böyle olmak istemezdin. İnşallah iyileşirsin 🙏,1
Kendimi kız sanıyorumdur😮,1
@buseay22q bu samet erkekse siz kadınlar nesiniz,1
"Bu tiplerin cinsiyeti ne? Kimse bana modernlikten, saygıdan bahsetmesin",1
"@aysenurunkitaprengi Bunların cinsi ortaya dikine, dönmeyi bekliyorlar",1
Memiş yok?,1
Sonra türkiye neden gekişmiyor bunun gibi ler yüzünden,1
İpne bak ve sus,1
erkeklik ölmüş be telbiyesiz,1
@i.amkerem ÖWSLOSDJJDSJ AQ GEYİ ZXJXBXBXHDIDJ,1
Lan bune,1
Pipin nerde lan,1
Neyini kiskaniyim olmayan seyinimi,1
sende göt karasısın,1
Aaaa üstsuz resimmmm. Hani sütyeninnn💋,1
Şimdi bunun babası diyo benim oğlum vad😂,1
@aysee6706 böyle diyorsan senin profil fotodaki oğlunuda böyle olmasını istiyorsun hadeeee 🤢,1
Got,1
Daha ne olduğunu çözemediğim cisim @sametlicina,1
O değilde bunun pipsi yok 🤦‍♂️🤦‍♂️,1
@selin.alyzma bamya sikiyorum ben,1
Sen erkeksin kendine gel,1
Ayıp be erkeklinize,1
Dunya siz gibilerin yuzunden bu hala geldi rabbim belanizi versin sizingililerinin💩💩💩💩,1
@esrabilgin53 👍👍👍👍👏👏👏👏allah bunları bildiği gibi yapsinnnnn,1
lütfen yarrağını kökünden kestirdiğini söyleme,1
Erkekler kadın oldu kadınlar erkek vallahi utanıyorum artık ne hallere düştük sizler yeni nesile kötü örneksiniz derhal piyasadan toplatılmanız lazım,1
abi kendine naptın amk,1
